datetime,open,high,low,close,volume
2021-04-30,151.745,153.64998,149.97,150.095,20191008.0
2021-05-03,151.25,152.4675,147.875,148.36749,20391184.0
2021-05-04,146.3725,146.375,140.10252,143.5125,40532480.0
2021-05-05,147.09,148.13499,143.875,144.58501,29202304.0
2021-05-06,144.9525,145.71249,142.18089,145.23,19338092.0
2021-05-07,148.0825,149.7075,146.71707,148.1225,22932732.0
2021-05-10,147.8725,148.06,142.5,142.6575,26890380.0
2021-05-11,138.25,143.5475,137.5,143.0625,28558536.0
2021-05-12,140.095,142.60249,137.0925,137.58501,30340932.0
2021-05-13,140.33749,140.8075,134.59,136.6525,28572748.0
2021-05-14,138.89999,143.28105,137.485,142.42999,25861500.0
2021-05-17,141.57001,141.6925,138.535,141.655,21698084.0
2021-05-18,142.67,144.0425,140.03999,140.1575,18625424.0
2021-05-19,135.66499,140.795,135.4325,140.6575,34399936.0
2021-05-20,143.02499,146.83784,142.705,146.125,32159192.0
2021-05-21,151.6375,152.22,148.69389,149.9175,67299200.0
2021-05-24,152.125,157.45,151.75999,156.12,55481620.0
2021-05-25,157.66,158.18498,154.825,156.47749,43540688.0
2021-05-26,157.3425,157.9375,155.8625,157.0,37043864.0
2021-05-27,156.9975,157.5,154.60001,154.88,58147520.0
2021-05-28,155.00999,162.77475,155.00999,162.44501,64453560.0
2021-06-01,162.7,163.88126,159.0325,162.645,47280300.0
2021-06-02,162.52251,169.18867,162.355,167.7825,59416756.0
2021-06-03,167.00751,172.59,165.83,169.69749,58000680.0
2021-06-04,171.125,176.61,170.955,175.7825,61712028.0
2021-06-07,175.7114,178.125,171.92751,176.19,57575492.0
2021-06-08,175.27251,176.21588,172.50999,174.57001,32384676.0
2021-06-09,175.1575,175.75,172.5575,173.5825,38165748.0
2021-06-10,173.5,174.92,171.76003,174.25,28777044.0
2021-06-11,174.795,179.39224,174.4375,178.2525,41630764.0
2021-06-14,179.06,180.395,176.62752,180.1875,32137428.0
2021-06-15,179.14999,180.16251,177.2795,177.88499,24303044.0
2021-06-16,177.9075,179.54677,175.84425,178.10249,30712260.0
2021-06-17,177.74568,188.35001,177.56253,186.57249,80965488.0
2021-06-18,187.84,193.75,185.84,186.3875,96885424.0
2021-06-21,184.35249,185.36501,178.2265,184.27251,67238216.0
2021-06-22,184.715,189.6375,183.85875,188.86749,58014556.0
2021-06-23,190.0775,191.5275,189.0775,190.57249,33235704.0
2021-06-24,192.2775,194.2,190.88251,192.05499,32092240.0
2021-06-25,192.80499,193.455,188.94376,190.31,27836592.0
2021-06-28,193.6125,200.78751,193.19,199.85001,49543656.0
2021-06-29,198.825,200.9875,196.56876,200.2675,36763384.0
2021-06-30,199.99126,201.625,198.6375,200.02499,32656616.0
2021-07-01,201.25,204.56,200.19,202.12,48013496.0
2021-07-02,204.40125,205.05251,202.8775,204.87,34339668.0
2021-07-06,207.375,208.42,203.5025,206.985,44670748.0
2021-07-07,208.535,208.75,203.3205,203.7175,41842728.0
2021-07-08,198.565,201.33,197.00751,199.0275,50329968.0
2021-07-09,199.625,200.80125,197.5425,200.5025,29662268.0
2021-07-12,202.39999,205.3275,201.8775,205.125,32198476.0
2021-07-13,204.005,204.6125,201.14003,202.5,29070632.0
2021-07-14,203.5775,204.17751,197.5275,198.41499,38009920.0
2021-07-15,198.11749,198.47,188.58502,189.66251,55056452.0
2021-07-16,190.30499,191.57111,180.73,181.61,68822264.0
2021-07-19,179.1525,190.42,178.655,187.7975,74905872.0
2021-07-20,187.3,188.38,181.64,186.12,43468656.0
2021-07-21,188.82001,195.27,187.42,194.10001,37101736.0
2021-07-22,196.42,198.87,192.75999,195.94,32382596.0
2021-07-23,196.56351,197.0,192.5,195.58,19567198.0
2021-07-26,193.11,194.42,189.14,192.94,20394316.0
2021-07-27,192.64999,196.22,187.41,192.08,24886258.0
2021-07-28,193.192,196.46001,189.95,195.03,20219116.0
2021-07-29,195.19,198.53,193.2803,196.62,19078088.0
2021-07-30,194.17999,196.3,192.63,194.99001,18349746.0
2021-08-02,197.0,199.61,193.61,197.5,21744396.0
2021-08-03,197.39999,202.22,192.2,198.14999,30181074.0
2021-08-04,199.89999,203.17999,198.28,202.74001,23130940.0
2021-08-05,205.0,207.33,203.42,206.37,21143536.0
2021-08-06,205.24001,205.7,202.10001,203.66,17849660.0
2021-08-09,204.46001,205.0799,201.42999,202.95,14644310.0
2021-08-10,203.22,204.3,198.3454,199.36,17923778.0
2021-08-11,200.42999,200.49001,194.3,196.99001,18592484.0
2021-08-12,198.7,200.2899,196.2,199.05,15186155.0
2021-08-13,199.05,202.13811,198.50999,201.88,18306286.0
2021-08-16,201.35001,202.87,194.53,199.5,21115280.0
2021-08-17,196.85001,197.7,192.67,194.58,20458484.0
2021-08-18,195.0,196.3365,190.0,190.39999,28591348.0
2021-08-19,194.94,204.95,187.62,197.98,76655480.0
2021-08-20,199.91,208.6506,199.33,208.16,67574128.0
2021-08-23,209.71001,219.97,209.5,219.58,57580656.0
2021-08-24,217.53,219.59,215.35001,217.92999,29729892.0
2021-08-25,217.37,224.7,217.22,222.13,34770104.0
2021-08-26,222.0,223.39999,217.89999,220.67999,23794042.0
2021-08-27,221.84,227.22,221.67,226.36,30472220.0
2021-08-30,228.2997,230.42999,225.50999,226.88,26257990.0
2021-08-31,226.95,226.95,221.2,223.85001,25984968.0
2021-09-01,224.85001,226.97,223.565,224.41,20176696.0
2021-09-02,225.17999,225.9299,222.94501,223.96001,18810956.0
2021-09-03,223.25,229.86,222.0,228.42999,28083198.0
2021-09-07,228.33,228.99001,225.224,226.62,19810716.0
2021-09-08,225.13,226.10001,219.77,223.39,25443420.0
2021-09-09,223.12,225.38,221.31,221.77,19685600.0
2021-09-10,223.48309,226.25999,222.7,224.78,24837574.0
2021-09-13,226.84,229.64,218.58,221.52,29749990.0
2021-09-14,222.75,224.10001,220.86,222.42,19975460.0
2021-09-15,223.09,223.66991,219.66,223.41,16653801.0
2021-09-16,221.8345,222.77,219.27,222.42,15603344.0
2021-09-17,223.0,223.21001,218.3,219.0,29450284.0
2021-09-20,211.46001,214.33,206.62,211.13,34944044.0
2021-09-21,214.16499,214.25,209.5,212.46001,20468810.0
2021-09-22,213.655,219.60001,211.96001,219.41,26872556.0
2021-09-23,221.39999,225.345,218.89999,224.82001,24855492.0
2021-09-24,220.7,221.49001,218.61,220.81,21765544.0
2021-09-27,217.1035,217.99001,213.25,216.60001,24521514.0
2021-09-28,212.13499,214.19,206.50999,206.99001,34306896.0
2021-09-29,209.395,210.17,204.67,205.17,21839364.0
2021-09-30,207.68401,210.66,206.88,207.16,22100912.0
2021-10-01,207.5,208.59,202.03,207.42,24097796.0
2021-10-04,205.03999,205.41789,195.55,197.32001,34563496.0
2021-10-05,199.5,206.48,198.53999,204.50999,27928164.0
2021-10-06,201.2,207.2,200.8,207.0,29720176.0
2021-10-07,210.92,213.22,209.72,210.75,25691892.0
2021-10-08,211.00999,212.06,207.75,208.31,15125791.0
2021-10-11,205.75,210.63,205.11,206.95,16338754.0
2021-10-12,208.27499,210.57001,205.28,206.71001,16213354.0
2021-10-13,209.17999,209.89999,207.13,209.39,18065188.0
2021-10-14,212.88,217.55,211.22009,217.46001,24358880.0
2021-10-15,218.10001,219.31,216.62,218.62,22699400.0
2021-10-18,217.49001,222.91,216.44,222.22,18949356.0
2021-10-19,222.75999,223.78999,220.37,222.89999,16147329.0
2021-10-20,223.045,224.33,219.82001,221.03,14627594.0
2021-10-21,220.97,227.11,220.83,226.92,18759032.0
2021-10-22,228.23,231.3,225.61,227.25999,24938380.0
2021-10-25,229.73,233.5499,227.7,231.66,23023484.0
2021-10-26,239.89,252.59,239.24001,247.17,48589832.0
2021-10-27,244.74001,250.89999,242.8201,244.50999,24598988.0
2021-10-28,248.78,249.5,245.23,249.41,23420432.0
2021-10-29,250.005,257.09,250.0,255.67,29250284.0
2021-11-01,256.48999,258.94,252.27,258.26999,26573976.0
2021-11-02,258.22,266.78,258.0,264.01001,29411240.0
2021-11-03,266.70001,267.84,262.35001,265.98001,23991032.0
2021-11-04,272.29001,313.64999,271.17999,298.01001,115363112.0
2021-11-05,301.87,314.0,294.10001,297.51999,85126016.0
2021-11-08,301.48999,311.0,299.07001,308.04001,50310092.0
2021-11-09,322.82001,323.10001,299.64001,306.57001,64674620.0
2021-11-10,293.56,308.5,287.78,294.59,63620572.0
2021-11-11,304.67999,305.89999,297.77011,303.89999,33217212.0
2021-11-12,300.10001,306.79999,296.29999,303.89999,41305428.0
2021-11-15,305.51999,306.44,292.47,300.25,38490900.0
2021-11-16,297.59,303.89999,297.05869,302.03,26448368.0
2021-11-17,304.17999,305.09,288.0,292.60999,42850800.0
2021-11-18,323.67001,327.60001,313.20999,316.75,78171072.0
2021-11-19,322.42999,330.88,319.04999,329.85001,53386664.0
2021-11-22,335.17001,346.47,319.0,319.56,75433520.0
2021-11-23,315.35001,323.60001,308.79999,317.45999,53216272.0
2021-11-24,314.60999,328.54999,309.28,326.73999,43516224.0
2021-11-26,326.0,327.10001,313.5,315.03,28306886.0
2021-11-29,323.66,334.12,320.35999,333.76001,45496400.0
2021-11-30,331.69,333.53,318.64011,326.76001,62206648.0
2021-12-01,332.1947,332.8934,313.79999,314.35001,48580204.0
2021-12-02,312.14001,324.77991,310.25,321.26001,47289032.0
2021-12-03,320.0,321.29001,301.29999,306.92999,54432504.0
2021-12-06,298.79999,302.41,280.38,300.37,65893844.0
2021-12-07,309.57001,324.48999,306.51001,324.26999,59305348.0
2021-12-08,319.98999,322.89999,314.21011,318.26001,47555144.0
2021-12-09,317.34,322.04999,304.28,304.89999,48850716.0
2021-12-10,311.5,313.04999,298.60999,301.98001,48882508.0
2021-12-13,302.48999,302.94,281.16,281.60999,59834368.0
2021-12-14,276.98999,286.78,272.5,283.37,66703536.0
2021-12-15,284.0,305.0,278.38,304.59,69829688.0
2021-12-16,311.51999,311.60001,280.92999,283.87,70736592.0
2021-12-17,279.85001,289.22,277.60001,278.01001,71662240.0
2021-12-20,273.04999,281.44,271.45001,277.19,46184676.0
2021-12-21,283.73999,291.20001,274.01001,290.75,52438496.0
2021-12-22,288.91,295.54999,284.48999,294.0,39518440.0
2021-12-23,297.54999,300.59,294.31009,296.39999,34302176.0
2021-12-27,296.60001,310.86499,296.39999,309.45001,40368588.0
2021-12-28,313.12,313.29999,300.1181,303.22,42059120.0
2021-12-29,302.72501,305.48001,293.66,300.01001,34313928.0
2021-12-30,298.26999,304.57001,295.39999,295.85999,30886422.0
2021-12-31,296.73999,300.29999,293.30569,294.10999,26652992.0
2022-01-03,298.14999,307.10999,297.85001,301.20999,39240296.0
2022-01-04,302.76999,304.67999,283.48999,292.89999,52715440.0
2022-01-05,289.48999,294.16,275.32999,276.04001,49806388.0
2022-01-06,276.39999,284.37991,270.64999,281.78,45418636.0
2022-01-07,281.41,284.22,270.57001,272.47,40993852.0
2022-01-10,265.81,274.69,256.43839,274.0,59468096.0
2022-01-11,273.22501,280.64999,268.39001,278.17001,40408928.0
2022-01-12,280.66501,285.95001,276.07999,279.98999,38341348.0
2022-01-13,283.79001,284.79999,264.98001,265.75,53886808.0
2022-01-14,263.0,271.96899,262.1001,269.42001,39583236.0
2022-01-18,262.60001,266.38,257.70001,259.03,42530616.0
2022-01-19,260.79001,265.4317,250.52,250.67,48831452.0
2022-01-20,253.03999,255.79041,240.78,241.5,43518072.0
2022-01-21,235.07001,248.23,232.63,233.74001,71895784.0
